	text_a	text_b	label
321	EMS arrived, found the patient  FS noted to be 58, given [**12-19**] amp D50, BS improved to 166.	 Patient has been given glucose	entailment
323	EMS arrived, found the patient  FS noted to be 58, given [**12-19**] amp D50, BS improved to 166.	 Patient has diabetes	neutral
324	His chest discomfort resolved at the outside hospital following nitrates, and there has been no recurrence of chest pain.	 The patient took a arterial vasodilator. 	entailment
327	Over the past two weeks has barely been able to ambulate at all, has had increased frequency of falls (most recently last night when getting up to go to the BR during the night, no LOC).	 patient has multiple falls	entailment
328	Over the past two weeks has barely been able to ambulate at all, has had increased frequency of falls (most recently last night when getting up to go to the BR during the night, no LOC).	 patient has normal ambulation	contradiction
329	Over the past two weeks has barely been able to ambulate at all, has had increased frequency of falls (most recently last night when getting up to go to the BR during the night, no LOC).	 patient has normal pressure hydrocephalus	neutral
330	He was noted to have increased filling pressures, with a pulmonary capillary wedge pressure of 26, pulmonary artery pressure of 56%.	 Patient has pulmonary HTN	entailment
333	4.  seizure d/o 5.  chronic type A aortic dissection s/p repair [**4-17**] w/ most recent imagining [**3208-11-28**] showing no progression 6.  h/o cellulitis 7.	 Patient has an acute finding	entailment
334	4.  seizure d/o 5.  chronic type A aortic dissection s/p repair [**4-17**] w/ most recent imagining [**3208-11-28**] showing no progression 6.  h/o cellulitis 7.	 Patient has normal imaging	contradiction
335	4.  seizure d/o 5.  chronic type A aortic dissection s/p repair [**4-17**] w/ most recent imagining [**3208-11-28**] showing no progression 6.  h/o cellulitis 7.	 Patient has a surgical condition	neutral
338	Head, eyes, ears, nose and throat: The anterior fontanel was flat and soft.	 The patient has normal development.	neutral
340	No LOC, no EtOH.	 screen is positive for alcohol	contradiction
341	No LOC, no EtOH.	 there are no drugs	neutral
342	She had intended to call her PCP today, however, symptoms began when she awoke at midnight last night so she came to the emergency room.	 Patient has new symptoms	entailment
343	She had intended to call her PCP today, however, symptoms began when she awoke at midnight last night so she came to the emergency room.	 Patient has nothing to report	contradiction
345	Per his report he completed antibiotics on Tuesday although he is unsure if this was the [** Location **]usly prescribed Linezolid or a different medication.	 The patient is taking medication for an infection. 	entailment
346	Per his report he completed antibiotics on Tuesday although he is unsure if this was the [** Location **]usly prescribed Linezolid or a different medication.	 The patient does not have an infection. 	contradiction
348	He is also s/p removal of a PD catheter 2 days PTA at [**Hospital1 1998**].	 He had a peritoneal dialysis catheter 	entailment
352	Suspected gastric outlet obstruction/partial SBO due to SMA syndrome suggested on radiographic studies, although duodenal narrowing not ap[** Location **]ted on repeat EGD.	 The patient has a wide angle between the SMA and the aorta. 	contradiction
353	Suspected gastric outlet obstruction/partial SBO due to SMA syndrome suggested on radiographic studies, although duodenal narrowing not ap[** Location **]ted on repeat EGD.	 The patient has had recent weight loss. 	neutral
354	A CXR was performed and was c/w PNA.	 There is an opacity on the chest X-ray. 	entailment
355	A CXR was performed and was c/w PNA.	 The x-ray was clear. 	contradiction
356	A CXR was performed and was c/w PNA.	 The patient has a lobar pneumonia. 	neutral
360	He continued on the continuous positive airway pressure for an additional 48 hours and on day of life three was moved to room air.	 The patient was recently born. 	entailment
362	He continued on the continuous positive airway pressure for an additional 48 hours and on day of life three was moved to room air.	 The patient is on BiPAP. 	neutral
363	History of dilated ventricles first seen in [**3190**], but repeat MR in [**3191**], was unchanged.	 The patient has dilated cardiomyopathy. 	entailment
364	History of dilated ventricles first seen in [**3190**], but repeat MR in [**3191**], was unchanged.	 The patient has a normal heart.	contradiction
365	History of dilated ventricles first seen in [**3190**], but repeat MR in [**3191**], was unchanged.	 The patient has ischemic cardiomyopathy.	neutral
366	Coronary artery disease, status post non-ST elevation MI in [**2951**].	 The patient has congestive heart failure. 	entailment
367	Coronary artery disease, status post non-ST elevation MI in [**2951**].	 The patient’s coronary arteries are of normal caliber. 	contradiction
368	Coronary artery disease, status post non-ST elevation MI in [**2951**].	 The patient is on a statin, beta blocker and ace-inhibitor. 	neutral
369	She had elevated BNP (30,000) and troponin (0.09 - higher than baseline).	 The patient has signs of a heart failure exacerbation. 	entailment
370	She had elevated BNP (30,000) and troponin (0.09 - higher than baseline).	 The patient has a normal heart. 	contradiction
371	She had elevated BNP (30,000) and troponin (0.09 - higher than baseline).	 The patient has cardiac ischemia. 	neutral
372	All of the other review of systems were negative. .	 Patient reports no pain 	entailment
373	All of the other review of systems were negative. .	 The patient reports abdominal pain	contradiction
374	All of the other review of systems were negative. .	 Patient has no past medical history 	neutral
375	He reports doing well when he was on 60 mg --> down to 40 mg of prednisone, when he dropped dose to 30mg / day as a part of the taper, he started getting progressively worse in terms of breathing.	 He is on a Prednisone taper	entailment
377	He reports doing well when he was on 60 mg --> down to 40 mg of prednisone, when he dropped dose to 30mg / day as a part of the taper, he started getting progressively worse in terms of breathing.	 HE is being treated for lung disease 	neutral
378	No recent weight loss, fever, chills, diarrhea, vomiting, nausea, abdominal pain.	 The patient does not have symptoms of gastroenteritis. 	entailment
379	No recent weight loss, fever, chills, diarrhea, vomiting, nausea, abdominal pain.	 The patient a serious clostridium difficile infection. 	contradiction
381	His symptoms started a month ago with jaundice and weight loss and he was found to have an ampullary adenoma on endoscopy but it was too big for resection.	 Patient has a benign growth	entailment
382	His symptoms started a month ago with jaundice and weight loss and he was found to have an ampullary adenoma on endoscopy but it was too big for resection.	 Patient has no symptoms	contradiction
383	His symptoms started a month ago with jaundice and weight loss and he was found to have an ampullary adenoma on endoscopy but it was too big for resection.	 Patient has had ERCP	neutral
384	She was moving all extremities to noxious stimulation.	 She has some neurological function	entailment
385	She was moving all extremities to noxious stimulation.	 She is unresponsive 	contradiction
387	Patient was transferred back to Medicine on [**5-31**] for further work-up of his coronary disease.	 Patient has heart disease	entailment
388	Patient was transferred back to Medicine on [**5-31**] for further work-up of his coronary disease.	 Normal cardiac function	contradiction
389	Patient was transferred back to Medicine on [**5-31**] for further work-up of his coronary disease.	 Patient has a history of myocardial infarction	neutral
390	Prenatal screens: Blood type B negative, antibody negative, Rubella immune, RPR nonreactive, hepatitis B surface antigen negative, group Beta strep status negative.	 Prenatal screens were negative 	entailment
394	She had a cardiac catheterization which revealed 3-vessel disease with normal left main, mid left anterior descending artery 60%, diffuse 90% mid distal stenosis at the origin of the diagonal, serial 70% and 90% left circumflex lesions, and 90% first obtuse marginal, and mid right coronary artery 60%.	 The patient has normal coronary arteries. 	contradiction
395	She had a cardiac catheterization which revealed 3-vessel disease with normal left main, mid left anterior descending artery 60%, diffuse 90% mid distal stenosis at the origin of the diagonal, serial 70% and 90% left circumflex lesions, and 90% first obtuse marginal, and mid right coronary artery 60%.	 The patient would benefit from coronary artery bypass grafting. 	neutral
396	Pseudomonal wound infections 8.	 Patient has had prior infections	entailment
397	Pseudomonal wound infections 8.	 Patient has no PMH	contradiction
401	Minimal vaginal bleeding.	 The patient recently delivered a baby. 	neutral
403	Cath here revealed diffuse 3 vessel disease, no intervention perfromed. .	 Patient does not require CABG	contradiction
404	Cath here revealed diffuse 3 vessel disease, no intervention perfromed. .	 Patient has PAD	neutral
405	A Diltiazem drip and lasix were given to the patient on the [**Hospital Unit Name 336**] floor.	 Patient has been started on anxiolytics	entailment
406	A Diltiazem drip and lasix were given to the patient on the [**Hospital Unit Name 336**] floor.	 Patient has elevated Cr	contradiction
409	She required only oxygen resuscitation.	 The patient does not have a cardiopulmonary condition. 	contradiction
